MM,elevation (ft),grade (%)
61.66,714.2659207,1.111856
61.67,714.8529807,1.111856
61.68,715.4210671,0.98934394
61.69,715.8882981,0.78047067
61.7,716.2452441,0.5715974
61.71,716.4919049,0.36272413
61.72,716.6282807,0.15385086
61.73,716.6543714,-0.05502241
61.74,716.570177,-0.26389568
61.75,716.3756976,-0.47276895
61.76,716.070933,-0.68164222
61.77,715.6558833,-0.89051549
61.78,715.1305486,-1.09938876
61.79,714.4949288,-1.30826203
61.8,713.7490239,-1.5171353
61.81,712.8928339,-1.72600857
61.82,711.9263588,-1.93488184
61.83,710.8495986,-2.14375511
61.84,709.6625534,-2.35262838
61.85,708.365223,-2.56150165
61.86,706.9576076,-2.77037492
61.87,705.4397071,-2.97924819
61.88,703.8400648,-3.037854
61.89,702.2360779,-3.037854
61.9,700.632091,-3.037854
61.91,699.0281041,-3.037854
61.92,697.4241172,-3.037854
61.93,695.8201303,-3.037854
61.94,694.2161434,-3.037854
61.95,692.6121565,-3.037854
61.96,691.0081695,-3.037854
61.97,689.4041826,-3.037854
61.98,687.8001957,-3.037854
61.99,686.1962088,-3.037854
62,684.5922219,-3.037854
62.01,682.988235,-3.037854
62.02,681.3842481,-3.037854
62.03,679.7802612,-3.037854
62.04,678.1762743,-3.037854
62.05,676.5722874,-3.037854
62.06,674.9683004,-3.037854
62.07,673.3643135,-3.037854
62.08,671.7603266,-3.037854
62.09,670.1563397,-3.037854
62.1,668.5523528,-3.037854
62.11,666.9483659,-3.037854
62.12,665.344379,-3.037854
62.13,663.7403921,-3.037854
62.14,662.1364052,-3.037854
62.15,660.5324183,-3.037854
62.16,658.9310366,-2.99239958
62.17,657.4063616,-2.78288441
62.18,655.9923107,-2.57336924
62.19,654.6888837,-2.36385407
62.2,653.4960808,-2.1543389
62.21,652.4139019,-1.94482373
62.22,651.442347,-1.73530856
62.23,650.5814161,-1.52579339
62.24,649.8311092,-1.31627822
62.25,649.1914263,-1.10676305
62.26,648.6623674,-0.89724788
62.27,648.2004292,-0.90355616
62.28,647.7040388,-0.97671084
62.29,647.1690226,-1.04986552
62.3,646.5953808,-1.1230202
62.31,645.9831133,-1.19617488
62.32,645.3322202,-1.26932956
62.33,644.6427013,-1.34248424
62.34,643.9145568,-1.41563892
62.35,643.1477867,-1.4887936
62.36,642.3423908,-1.56194828
62.37,641.4983693,-1.63510296
62.38,640.6541784,-1.53229916
62.39,639.8819145,-1.39294283
62.4,639.1832308,-1.2535865
62.41,638.5581271,-1.11423017
62.42,638.0066037,-0.97487384
62.43,637.5286603,-0.83551751
62.44,637.1242971,-0.69616118
62.45,636.7935141,-0.55680485
62.46,636.5363112,-0.41744852
62.47,636.3475293,-0.34048506
62.48,636.1520313,-0.40003764
62.49,635.9250895,-0.45959022
62.5,635.666704,-0.5191428
62.51,635.3768748,-0.57869538
62.52,635.0556018,-0.63824796
62.53,634.702885,-0.69780054
62.54,634.3187244,-0.75735312
62.55,633.9031201,-0.8169057
62.56,633.456072,-0.87645828
62.57,632.9775802,-0.93601086
62.58,632.4676446,-0.99556344
62.59,631.9322757,-1.00697754
62.6,631.4117406,-0.9647462
62.61,630.9135037,-0.92251486
62.62,630.437565,-0.88028352
62.63,629.9839244,-0.83805218
62.64,629.5525819,-0.79582084
62.65,629.1435376,-0.7535895
